Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit
grey-level co-occurrence matrix,correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
